Term,Detailed_English_Definition
relationship,"A formally defined connection, with expectations, labels, and the looming potential of emotional paperwork."
situationship,"That blurry space between friendship and romance—ambiguous, undefined, and dangerously convenient."
stationship,"A fleeting bond formed by public transportation delays, where strangers become momentary allies."
vacationship,"An intense but short-lived holiday romance, typically expiring with your return flight."
conversationship,"A purely verbal bond—good conversation, zero commitment, and ideally no eye contact."
workationship,"Professional collaboration disguised as camaraderie. Bound by deadlines, not emotions."
waitationship,"One person waits, the other doesn't notice. A tale as old as unanswered texts."
locationship,A long-distance arrangement where Google Maps plays a more active role than either party.
educationship,"Mentorship that feels like parenting. One teaches, the other pretends to listen."
procrastinationship,Both parties agree on one thing: they'll decide what this is... eventually.
imaginationship,Only one party exists—inside someone’s elaborate daydream.
navigationship,"Two souls groping in the dark, hoping the other knows what they're doing."
frustrationship,"One side is annoyed, the other is oblivious. A duet of dissatisfaction."
appreciationship,"Built on compliments and shared playlists. Not sustainable, but pleasant."
informationship,You send articles. They reply with emojis. Communication has occurred.
expirationship,"A bond with an expiration date, like milk or seasonal affection."
complicationship,Too complex to explain to your therapist without diagrams.
investigationship,An overly polite phase where both parties pretend they’re collecting data.
accommodationship,"A relationship born of compromise. Love optional, logistics mandatory."
celebrationship,Happens only at weddings or birthdays. Powered by alcohol and nostalgia.
destination-ship,"Partnership fueled by a mutual goal, usually travel plans or revenge."
rotationship,A seasonal arrangement that resets periodically—like software updates.
insta-presentationship,Maintained for the sake of your Instagram aesthetic.
approximationship,A connection that's almost something—but not quite anything.
hibernationship,Both parties are dormant. Nothing ends. Nothing begins.
calculationship,"A bond measured in favors, ROI, and passive aggression."
semi-communicationship,"Communication exists, barely. Think broken Wi-Fi with feelings."
oscillationship,"Emotionally unstable, constantly swinging between clinginess and ghosting."
micro-flaketionship,You plan brunch. They vanish. Still counts as a connection.
quasi-obligationship,"You feel obligated. They feel nothing. A civic duty, not affection."
probationship,You’re on trial. Love is the jury. Good luck.
text-ationship,Text-only. Emojis count as emotional labor.
multi-locationship,Maintained by flight tickets and timezone math.
re-evaluationship,"After the break, let’s rethink what we were doing."
echo-chambership,"An echo chamber, but for two. Opinions bounce, evolve not."
over-idealizationship,"You fell for their résumé, not the reality."
ghost-and-reincarnationship,They vanish. Then reappear. Possibly undead.
low-battery-conversationship,Conversations that die mid-sentence. No resuscitation attempt made.
pseudo-commitmentship,Acts committed like love. Without the love.
quantum-superpositionship,"Simultaneously alive and dead, like Schrödinger’s situationship."
competitionship,A zero-sum game in the arena of affection.
admirationship,You admire them. They admire themselves. Not quite mutual.
ruminationship,You replay every detail. They moved on last Tuesday.
synchronizationship,Perfect synchronicity. Until Spotify Wrapped exposes the lie.
medicationship,They medicate. You mediate. Codependency ensues.
oscillationship,"Love as a sine wave. Highs, lows, repeat."
hesitationship,Both hesitate. Nothing progresses. Time passes.
generationship,Bridging the generational gap one passive-aggressive text at a time.
accelerationship,"It’s going fast. But where, exactly?"
improvisationship,Making it up as you go. Mostly the latter.
elevationship,We’re growing. Just not in the same direction.
gravitationship,Drawn to each other by forces no one can explain.
contemplationship,Bond maintained through existential overthinking.
hallucinationship,Mutual delusion based on zero contact and one fantasy.
negotiationship,Terms negotiated. Romance optional.
app-proximationship,Just an app update away from something real.
transformationship,You changed. They changed. The relationship didn’t survive.
stagflationship,Static connection. Held together by social obligation and dread.
pausationship,Temporary pause—probably permanent.
incubationship,Connection in gestation. Love still incubating.
realizationship,Aha moment. This is either love or a phase.
consolationship,You're sad. They're slightly less sad. Good enough.
explorationship,"Wandering together, hoping one of you brought a map."
interpretationship,One explains. The other nods. Nobody understands.
notificationship,Ping! You've got feelings. (They don't.)
habit-uationship,You both act out habits and call it love.
validationship,"Proof the relationship existed, mostly for your own sanity."
fascination-ship,Infatuation sustained by inconsistent feedback loops.
reciprocationship,"Strict, turn-based affection exchange. Score kept."
calibrationship,You calibrate your personality depending on their mood.
compilationship,"Shared files, shared feelings—both in beta."
simulationship,Pretend relationship during a fixed time window. Trial expires soon.
restorationship,You fix them. They break again. A healing loop.
disassociationship,Mutual unfollow. Emotional detachment complete.
re-creation-ship,Bond reborn through performance art and mild resentment.
documentation-ship,Cataloging affection in bullet-point format.
activation-ship,They started it. You finished it. Now what?
gamificationship,"Love, but gamified. Points deducted for vulnerability."
automationship,Romance by autopilot. Feelings optional.
narrationship,Storytelling with kissing. Fictional or not.
notification-ship,Push notifications for 'we need to talk'.
precipitation-ship,Emotional storm warning. Prepare to be hurt.
recommendationship,You recommend each other. To others.
fascination-ship,A rerun of previous fascination. This time with context.
actualizationship,Dreams becoming action. Sometimes accidentally.
inspiration-ship,Inspirational poster material with a side of chemistry.
examinationship,Pop quiz: what are we?
visualizationship,A slideshow of emotional availability.
formalizationship,"Love, but bureaucratic."
internalizationship,Feelings buried deep. Hope you brought a shovel.
externalizationship,Feelings published. Comments section disabled.
customizationship,"Love, but personalized and overpriced."
customization-ship,Custom love. Now with upgrade options.
virtualizationship,Romance across bandwidths. Loading...
polarizationship,Us vs. Them. Mostly us vs. each other.
categorizationship,Classifying emotions like Pokémon.
optimizationship,"Love, but optimized for engagement metrics."
manifestationship,The dream that sells the illusion of intimacy.
mystificationship,They confuse you. You stay anyway.
continuationship,"This relationship is not over, just... buffering."
lingership,"For Ling's longings and loving."
temptationship,"St.Anthony in the dessert (longing for) meeting the Queen of Sheba."
